goalName,goalId,URL,ICON
UPSC CSE,624ff334ea0f9057d3f11a91,https://testbook.com/upsc-cse-previous,https://cdn.testbook.com/resources/productionimages/goal_images/624ff334ea0f9057d3f11a91.png
All SSC Exams,628371bfaf01a9ffa02374a2,https://testbook.com/ssc,https://cdn.testbook.com/resources/productionimages/1920X966%20%282%29_All_1714171461.png
BPSC,62973a64d586df79efc748a2,https://testbook.com/bpsc-previous,https://cdn.testbook.com/resources/productionimages/goal_images/62973a64d586df79efc748a2.png
AE & JE - Electrical,629bb250c7b88903140ab781,https://testbook.com/ae-je-electrical,https://cdn.testbook.com/resources/productionimages/TEACHING_All_1757409971.png
AE & JE - Mechanical,629f3571e1ba553aa3b91bff,https://testbook.com/ae-je-mechanical,https://cdn.testbook.com/resources/productionimages/TEACHING%20%282%29_All_1757409917.png
AE & JE - Civil,629f359f7c4c3d752a464f86,https://testbook.com/ae-je-civil,https://cdn.testbook.com/resources/productionimages/TEACHING%20%281%29_All_1757409860.png
Banking & Insurance Super Pack,62b076cfabac16bece581bd5,https://testbook.com/bank-exams,https://cdn.testbook.com/resources/productionimages/24_All_1731314958.png
GATE Mechanical,62b20f77b5e26373ba4e697d,https://testbook.com/gate-mechanical,https://cdn.testbook.com/resources/productionimages/Goal%20Icon%20Rectangle%20%285%29_All_1735201622.png
Bihar SSC CGL + Daroga + Civil Court,62b2ca20300a2f23b5885605,https://testbook.com/bihar-govt-job,https://cdn.testbook.com/resources/productionimages/goal_images/62b2ca20300a2f23b5885605.png
CUET,62b2cce2f4404c0c536ae861,https://testbook.com/cuet,https://cdn.testbook.com/resources/productionimages/goal_images/62b2cce2f4404c0c536ae861.png
AAI ATC,62baa814496b8f447cc552c4,https://testbook.com/aai-atc,https://cdn.testbook.com/resources/productionimages/goal_images/62baa814496b8f447cc552c4_oct2024_1.png
GATE Civil,62baf912a71729a10a088d6a,https://testbook.com/gate-civil,https://cdn.testbook.com/resources/productionimages/Goal%20Icon%20Rectangle%20%289%29_All_1735890510.png
"CDS, CAPF & AFCAT",62bbfeb54a6ab4958508174e,https://testbook.com/cds-afcat-capf,https://cdn.testbook.com/resources/productionimages/goal_images/62bbfeb54a6ab4958508174e.png
Railway,62bc01f57e5b79b8b3fa2859,https://testbook.com/railway,https://cdn.testbook.com/resources/productionimages/62bc01f57e5b79b8b3fa2859_All_1705682018.png
GATE Electrical,62bc38893d1eae0b548eba7a,https://testbook.com/gate-electrical,https://cdn.testbook.com/resources/productionimages/Goal%20Icon%20Rectangle%20%286%29_All_1735206712.png
GATE CSE,62bca84d2c4f0e9ac6ff873f,https://testbook.com/gate-cse,https://cdn.testbook.com/resources/productionimages/Goal%20Icon%20Rectangle%20%284%29_All_1735200508.png
GATE ECE,62c7ea1bb6f96bd5da884d6a,https://testbook.com/gate-ece,https://cdn.testbook.com/resources/productionimages/goal_images/62c7ea1bb6f96bd5da884d6a.png
CTET & State TET,62d6aacd540913fc16b4e56a,https://testbook.com/ctet-state-tet,https://cdn.testbook.com/resources/productionimages/goal_images/62d6aacd540913fc16b4e56a_oct2024_1.png
UGC NET/SET 1.0,62e4e0d81cf9fdee2cde004d,https://testbook.com/ugc-net-batch-1,https://cdn.testbook.com/resources/productionimages/goal_images/62e4e0d81cf9fdee2cde004d.png
UPPSC,62e621487cbf34075dc7e9c2,https://testbook.com/uppsc,https://cdn.testbook.com/resources/productionimages/62e621487cbf34075dc7e9c2_All_1705340386.jpg
UPSSSC PET,62f647943235b45ce930adb4,https://testbook.com/upsssc-pet,https://cdn.testbook.com/resources/productionimages/goal_images/62f647943235b45ce930adb4_oct2024_1.png
Bihar Daroga,62f77213cbf7d4e21f757337,https://testbook.com/bihar-police,https://cdn.testbook.com/resources/productionimages/goal_images/62f77213cbf7d4e21f757337_oct2024_1.png
BSSC CGL Supercoaching,62f779023ee4efade1bad95e,https://testbook.com/bssc-cgl,https://cdn.testbook.com/resources/productionimages/goal_images/62f779023ee4efade1bad95e.png
"RBI, NABARD & SEBI Exams",630c90e4fe21fcc7b8dfbbc9,https://testbook.com/rbi-sebi-nabard,https://cdn.testbook.com/resources/productionimages/goal_images/630c90e4fe21fcc7b8dfbbc9.png
"PRT, TGT & PGT Mahapack",63140b9349ab0db12bc4d973,https://testbook.com/teaching-exam-prt-tgt-pgt,https://cdn.testbook.com/resources/productionimages/goal_images/63140b9349ab0db12bc4d973_oct2024_1.png
CTET Guaranteed Qualification Program DEC 2024 (GQP),6315f44f52381006c663a5c4,https://testbook.com/ctet-gqp,https://cdn.testbook.com/resources/productionimages/1920X966_All_1734346872.png
REET 2024,6316f9cb6041b79c5886fad8,https://testbook.com/reet,https://cdn.testbook.com/resources/productionimages/1920X966_All_1734090292.png
UPTET,63173d623d8ada5436bd513b,https://testbook.com/uptet,https://cdn.testbook.com/resources/productionimages/goal_images/63173d623d8ada5436bd513b.png
MPTET,63174260d525215e20f4ef24,https://testbook.com/mptet,https://cdn.testbook.com/resources/productionimages/goal_images/63174260d525215e20f4ef24.png
Jharkhand TET,63174e84706d62d985153d58,https://testbook.com/jtet,https://cdn.testbook.com/resources/productionimages/1920X966_All_1718968985.png
DRDO CEPTAM,6319ca635da3315fe1e43cc4,https://testbook.com/drdo-ceptam,https:
MPSC,631b07344568457b6bd4ba7b,https://testbook.com/mpsc-previous,https://cdn.testbook.com/resources/productionimages/goal_images/631b07344568457b6bd4ba7b.png
UP Police,63296bd595b18921025d2c7f,https://testbook.com/up-police-bharti,https:
Bihar Civil Court,632ad19616774647c8630635,https://testbook.com/bihar-civil-court,https://cdn.testbook.com/resources/productionimages/goal_images/632ad19616774647c8630635_oct2024_1.png
MPPPSC,632db81a11dd1ed778b10516,https://testbook.com/rpsc,
Maharashtra Police Bharti,6332f5976082481e3a9ded98,https://testbook.com/maharashtra-police,https://cdn.testbook.com/resources/productionimages/goal_images/6332f5976082481e3a9ded98_oct2024_1.png
Agniveer Vayu,6335a8c7c09aab100acd349e,https://testbook.com/agniveer-vayu,https://cdn.testbook.com/resources/productionimages/goal_images/6335a8c7c09aab100acd349e.png
NDA,633af140e108ad7f9ea676ee,https://testbook.com/nda,https:
SSC IMD,63467dc9c121a3707559ddb3,https://testbook.com/ssc-imd,https:
AE/JE + DRDO + AAI ATC,634e9bb43fe2ab870bd6301c,https://testbook.com/aeje-drdo-aai-atc-dhamaka-pack,https:
UPSC CSE + BPSC + MPSC+ UPPSC,634e9e59aa046cc8fc8142c7,https://testbook.com/upsc-psc-dhamaka-pack,
CTET + State TET + PRT + TGT + PGT,634ea981d9a5097800b2d3e7,https://testbook.com/teaching-dhamaka-pack,https://cdn.testbook.com/resources/productionimages/goal_images/634ea981d9a5097800b2d3e7.png
SSC + Banking + Railways Combo,634eb0e3f23e979e9a939574,https://testbook.com/sbrd-dhamaka-pack,https://cdn.testbook.com/resources/productionimages/goal_images/634eb0e3f23e979e9a939574.png
All Engineering Exams,634fe740c13167995ba1c960,https://testbook.com/aeje-gate-dhamaka-pack,https:
UP Govt. Job,635baee6d80ddb2d0341fdd3,https://testbook.com/up-govt-job,
RRB ALP (CBT 1 + CBT 2 + CBAT),63637eddce48f1791af9592a,https://testbook.com/rrb-alp-2024,https://cdn.testbook.com/resources/productionimages/1920X966_All_1742974277.png
SSC GD,6363bbee44dffe328f0769ce,https://testbook.com/ssc-gd,https://cdn.testbook.com/resources/productionimages/goal_images/6363bbee44dffe328f0769ce.png
Delhi Police Constable,63691b164ca543b3931c0e58,https://testbook.com/delhi-police-constable,https://cdn.testbook.com/resources/productionimages/66a0a677977113d7772ca0ec_oct2024_1%20%281%29_All_1741354629.jpg
MPPSC,636f861b7e3f6408f3b2fc47,https://testbook.com/mppsc,https:
SSC CHSL (Tier 1 + Tier 2),637758e8770f28f43470ba91,https://testbook.com/ssc-chsl,https://cdn.testbook.com/resources/productionimages/SSC%20CHSL_All_1741675251.png
MP Patwari,637e62929913cc98ff95df4b,https://testbook.com/mp-patwari,https://cdn.testbook.com/resources/productionimages/659e54a95a122e99228b1c1c_oct2024_1%20%289%29_All_1736859301.jpg
Allahabad High Court,63845d4f60ac451b02609721,https://testbook.com/allahabad-high-court-exam,https://cdn.testbook.com/resources/productionimages/goal_images/63845d4f60ac451b02609721.png
"MP वन रक्षक, क्षेत्र रक्षक और जेल प्रहरी",6386fbe26fb48e7f0bd4ea34,https://testbook.com/mp-forest-guard-field-guard-jail-prahari,https://cdn.testbook.com/resources/productionimages/goal_images/6386fbe26fb48e7f0bd4ea34.png
KVS,63870a1de5e1c1f94c28a963,https://testbook.com/kvs,https://cdn.testbook.com/resources/productionimages/goal_images/63870a1de5e1c1f94c28a963.png
NPCIL Scientific Assistant & Stipendiary Trainee,638f51b741c57894a19258fe,https://testbook.com/npcil-scientific-assistant-and-stipendiary-trainee,https://cdn.testbook.com/resources/productionimages/goal_images/638f51b741c57894a19258fe.png
